LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES
l_1,Callide B Power Station to Calvale,931,930,2.3728839884200847e-07,0.0005457692155034811,7.289014058300503e-06,1
l_2,Callide B Power Station to Calvale,930,931,2.6177623385629906e-07,0.000602091844719023,8.041230241424362e-06,1
l_3,Calvale to Callide A Power Station,928,930,9.802706697649594e-07,0.0020450398555362597,1.7623006510770702e-06,1
l_4,Braemar to Bulli Creek,659,660,1.4166699985533161e-05,0.033425262410431665,0.000879654976034453,2
l_5,Moura to Biloela Tee,929,932,4.6140321413633436e-05,0.09625790013768137,8.294965969720181e-05,1
l_6,Baralaba to Moura,932,761,4.0084620489193376e-05,0.08362450190833615,7.206290564953908e-05,1
l_7,Warwick to Stanthorpe,872,831,8.673974839311793e-05,0.1765575636418462,7.70752186904153e-05,1
l_8,Callide C Power Station to Calvale,933,930,3.0091951704392815e-07,0.0006921223690168711,9.243631803553134e-06,1
l_9,South Toowoomba Tee to Kearneys Spring,557,554,4.965365694009627e-06,0.010106933508175832,4.4121253961815995e-06,1
l_10,Middle Ridge to Yarranlea,558,559,6.626203041923299e-05,0.13487545063838227,5.887912496917668e-05,1
l_11,Bulli Creek to Dumaresq,308,659,2.53812335005687e-05,0.059885110217855676,0.0015760006472549971,2
l_12,Biloela Tee to Callide A Power Station,929,928,1.3785279052016831e-05,0.0287588376869656,2.478275337409953e-05,1
l_13,Baralaba to Callide A Power Station,928,761,7.584327420993148e-05,0.1582241755441528,0.0001363487204529199,1
l_14,Middle Ridge to Postmans Ridge,559,106,2.5654394333404958e-05,0.05221916646201085,2.2795985580403427e-05,1
l_15,Middle Ridge to Broxburn Tee,560,559,4.3712858086214366e-05,0.08897692080619557,3.884237802153202e-05,1
l_16,Yarranlea to Broxburn Tee,558,560,2.1964595987711045e-05,0.04470863272962203,1.9517304010692362e-05,1
l_17,Columboola to Roma,812,90,0.00013937874167079222,0.2907718148902749,0.000250570842083477,1
l_18,Millmerrin Power Station to Millmerrin,561,562,1.2008715255782078e-07,0.00028333659853499297,7.4565891430727584e-06,2
l_19,Millmerran to Middle Ridge,562,563,1.4622829785023306e-05,0.03450146634336912,0.0009079775104460551,2
l_22,Bulli Creek to Millmerrin,659,562,7.027101039307301e-06,0.01657991603290269,0.00043633481351591617,2
l_26,Chinchilla to Columboola,814,812,3.829474584786235e-05,0.07989046692102672,6.884512372149229e-05,2
l_28,Tarong to Chinchilla,454,814,0.00012746231672572256,0.2659117790860647,0.00022914785750693896,2
l_29,Callide C Power Station to Calvale,933,930,2.859811354399251e-07,0.0006577637200112922,8.784755288514002e-06,1
l_30,Callide A to Halys,453,928,7.012168613598313e-05,0.1612816210947505,0.002153994710787481,2
l_31,Biloela to Callide A Power Station,934,928,1.5618823177295875e-05,0.03258397591534805,2.8079042965761554e-05,1
l_32,Biloela to Biloela Tee,929,934,1.8471076562393797e-06,0.0038534344553850753,3.3206736930939618e-06,1
l_33,Tarong to Middle Ridge,563,454,0.00014918097390183825,0.30365581848881845,0.00013255925225678428,1
l_34,South Toowoomba Tee to Kearneys Spring,557,554,4.928032150497285e-06,0.01003094159435586,4.3789515504648616e-06,1
l_35,Middle Ridge to South Toowoomba Tee,559,557,1.7906770104021332e-06,0.003644898401055887,1.591160047584297e-06,1
l_36,Middle Ridge to South Toowoomba Tee,559,557,1.949493349912004e-06,0.0039681668735824195,1.7322810944641806e-06,1
l_37,Broxburn Tee to Broxburn,560,942,3.83211491763872e-08,7.800217155201572e-05,3.405141250643073e-08,1
l_38,Middle Ridge to Warwick,831,559,0.00010401711545546178,0.21172540642654278,9.242754411669455e-05,1
l_39,Middle Ridge to Warwick,831,559,9.772295750318522e-05,0.1989137345711622,8.683468029554215e-05,1
l_40,Tangkam to Dalby,564,556,7.179047705750314e-05,0.14612852765623513,6.379159291561094e-05,1
l_41,Oakey to Oakey Tee,941,555,4.040523432722583e-06,0.008224429818335618,3.590328920363221e-06,2
l_42,Oakey Tee to Oakey Power Station,555,32,1.7528902929291216e-06,0.003567984057878163,1.5575835204813388e-06,2
l_43,Tangkam to Oakey Tee,556,555,7.893996851507068e-06,0.016068121908560603,7.014448911171052e-06,2
l_47,Braemar to Western Downs,813,660,6.195380717105218e-06,0.014249529645025814,0.00019030941826014448,2
l_48,Braemar Power Station to Braemar,660,661,1.5796041440620366e-07,0.0003633128794824854,4.852220702236697e-06,1
